id,product_id,brand,model,price,good_count,general_count,poor_count
84,62581859528,美的（Midea）,LIPB20-C11,4999,870,0,5
85,66291393929,美的（Midea）,自营（TD7系列）,-1,406,1,3
86,70081908213,美的（Midea）,JSQ30-WZ161,1239,24,0,0
87,100009238780,美的（Midea）,JSQ27-JM5,1499,490,2,8
88,50766591888,美的（Midea）,Y8S,1799,1026,9,15
89,69650157255,美的（Midea）,L1PB20-C18,5399,13,0,0
90,100007766168,美的（Midea）,JSQ22-JM1,899,2376,8,25
91,68735914473,美的（Midea）,JSQ22-HWA,799,398,7,9
92,100011426470,美的（Midea）,JSQ22-12HM1,999,1110,0,1
93,65735045450,美的（Midea）,JSQ22-PH1,909,201,0,2
94,67207754125,美的（midea）,JSQ22-HWA,799,72,0,1
95,69627030883,美的（Midea）,L1PB20-C12,4299,13,0,1
96,65471545701,美的（Midea）,JSQ25-PH1,959,200,0,2
98,64630635503,美的（Midea）,JSQ25-PH1,949,144,0,0
99,28201824151,美的（Midea）,JSQ22-L1,709,532,3,7
100,29056147664,美的（Midea）,JSQ22-L1(Y),-1,13170,56,145
101,100011376192,美的（Midea）,JSQ30-16HTS3,3799,5,0,0
102,69527041334,美的（Midea）,JSQ30-L3,899,17,0,0
103,66879216255,美的（Midea）,JSQ25-TD7,1899,254,2,2
104,100004049591,美的（Midea）,JSQ30-GT9,2799,757,2,11
105,30030630339,美的（Midea）,TD2,1049,6109,31,49
106,68100979981,美的（Midea）,JSQ25-TD2,1059,63,0,1
107,100011376188,美的（Midea）,JSQ30-16HS4,2999,3,0,0
108,39974630844,美的（Midea）,JSQ22-HWA,809,1361,7,32
109,25745835099,美的（Midea）,JSG20-10HC5 ,1699,812,8,24
110,100005162019,美的（Midea）,JSQ30-JM7,3399,130,0,0
111,44559706683,美的（Midea）,JSG22-12HC5,1599,475,4,8
112,26153448896,美的（Midea）,JSQ30-Y8S,1799,3689,18,52
218,51090601968,美的（Midea）,JSQ22-L1,749,147,0,4
219,69619094366,美的（Midea）,JSQ30-NT1,1799,274,2,3
220,100006982193,美的（Midea）,JSQ25-TD2(Y),1049,136,0,3
221,34827686769,美的（Midea）,JSQ30-H1S,1199,776,6,4
222,100011578306,美的（Midea）,JSQ30-JD5,3999,831,0,0
223,67763860424,美的（Midea）,JSQ22-L1,749,23,1,0
224,65559608833,美的（Midea）,JSQ22-L1,1099,42,2,0
225,12063254285,美的（Midea）,JSQ25-HWA,899,145,0,1
226,17889350482,美的（Midea）,JSG22-12HC5,1599,464,4,6
227,100002738164,美的（Midea）,JSQ34-G6,2099,194,2,3
228,62051852437,美的（Midea）,JSQ22-L1(强排式),699,23,0,0
229,70933762523,美的（Midea）,JSQ25-L2G,799,291,0,1
230,100013914268,美的（Midea）,JSQ25-13HCS2,1799,0,0,0
231,100005857751,美的（Midea）,JSQ30-WD7,2099,2747,4,23
232,46318147056,美的（Midea）,JSQ25-13HP7,2499,145,1,0
233,100006289693,美的（Midea）,JSQ25-13HTS3,3299,6,0,0
234,100013498590,美的（Midea）,L1PB20-C18,5399,0,0,0
235,59741890029,美的（Midea）,华凌,1799,5,0,0
236,100010515858,美的（Midea）,JSQ30-GS6,2299,1491,4,23
237,100003654918,美的（Midea）,JSQ27-14HT3(T) ,4599,0,0,0
238,100005927177,美的（Midea）,JSQ25-13HC2(T),1699,0,0,0
239,70280364491,美的（Midea）,JSQ22-HWA(T),799,83,1,1
240,100002419523,美的（Midea）,JSQ27-14HT3(T) ,4999,0,0,0
241,65336938185,美的（Midea）,JSQ30-RX5,2999,1,0,0
242,100011723644,美的（Midea）,JSQ30-16HT2,3499,197,0,1
243,62581859529,美的（Midea）,L1PB26-C12,4999,870,0,5
244,63915931353,美的（Midea）,L1PB26-C12,4999,28,0,0
245,100006773092,美的（Midea）,L1PB26-C11,5999,3,0,0
246,12039807640,美的（Midea）,JSG20-10HC5（20Y）,1499,433,3,10
247,67056321074,美的（Midea）,JSQ30-TD2,1299,7,0,0
248,68538557741,美的（Midea）,JSQ30-16HP5(T),1999,1,0,0
249,67056326342,美的（Midea）,JSQ30-L3,1099,10,0,0
250,100013814104,美的（Midea）,JSQ30-16HTQ8,5999,0,0,0
251,53159736867,美的（Midea）,JSQ22-L1,699,52,0,6
252,51969621463,美的（Midea）,JSQ30-Y8S,1999,17,0,0
253,100003781527,美的（Midea）,JSQ25-GTS,2599,386,5,8
254,100003859066,海尔（Haier）,EC6003-JT1(U1) ,1499,23174,62,127
255,100004771213,史密斯（A.O.SMITH）,E80VDP,2998,8198,17,46
256,64599865585,美的（Midea）,JSQ22-PH1,899,1347,5,8
257,100011936384,美的（Midea）,JSQ25-13HC2,1499,2,0,0
258,53206335074,美的（Midea）,L1,699,133,0,2
259,65481721082,美的（Midea）,JSG20-10HC5,1498,13,0,0
260,100009829160,COLMO,JSQ30-CX916,4999,22,0,0
261,100010346426,COLMO,JSQ30-CE616,7999,4,0,0
262,60959509159,美的（Midea）,华凌,799,7,0,0
263,100011376210,美的（Midea）,JSQ30-16HTQ8,5999,4,0,0
264,69349979243,美的（Midea）,HC2,1999,0,0,0
265,66739542160,美的（Midea）,JSQ30-TD2,1049,24,0,0
266,100004582085,海尔（Haier）,JSQ30-16UTS(12T),1499,2323,20,17
267,100004689445,海尔（Haier）,JSQ25-13JM6(12T)U1,1549,2681,16,16
268,100011742712,海尔（Haier）,JSQ30-16JR1(12T)U1,2999,1904,5,20
269,7494725,海尔（Haier）,JSQ31-16JN5(12T),2099,20040,55,126
270,7280752,海尔（Haier）,JSQ25-13JN5(12T),1899,20040,55,126
271,100011764088,海尔（Haier）,JSQ25-13JH1(12T),1299,1724,9,11
272,100008185306,海尔（Haier）,JSQ31-16JM6(12T)U1,1499,9396,28,71
273,70083749927,海尔（Haier）,16升新品增压零冷水,2499,1084,4,8
276,2397327,海尔（Haier）,JSQ31-16WPT(12T),1799,20732,82,147
277,41508198869,海尔（Haier）,L1PB20-HT1(T),4399,2057,13,43
278,66315345132,海尔（Haier）,JSQ25-13TE7,1549,190,0,1
279,2905589,海尔（Haier）,JSQ24-UT(12T),1099,220222,1224,1870
280,100003294619,海尔（Haier）,JSQ31-16WJS2(12T),2439,6235,19,48
281,100002263409,史密斯（A.O.SMITH）,JSQ31-VJSX,7608,2751,2,8
282,100007732938,史密斯（A.O.SMITH）,JSQ26-J0,2648,6854,19,24
283,7454397,史密斯（A.O.SMITH）,JSQ33-VDA1,3598,47937,65,139
284,100007732914,史密斯（A.O.SMITH）,JSQ31-J0,3148,3928,4,19
285,7240662,史密斯（A.O.SMITH）,JSQ26-VDA1,3078,47937,65,139
286,100002880805,史密斯（A.O.SMITH）,JSQ31-CSCX,4048,3288,4,13
287,100006077791,史密斯（A.O.SMITH）,JSQ24-J0,2448,963,2,5
288,66414800027,史密斯（A.O.SMITH）,13T0+1200M,5536,3,0,0
